<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TRUR;D;230801;000000;7.24;7.27;7.21;7.25;322226900
TRUR;D;230802;000000;7.25;7.31;7.24;7.28;291036967
TRUR;D;230803;000000;7.29;7.33;7.27;7.33;292647024
TRUR;D;230804;000000;7.33;7.38;7.29;7.31;413085802
TRUR;D;230807;000000;7.35;7.4;7.32;7.32;456611772
TRUR;D;230808;000000;7.32;7.34;7.28;7.32;310440969
TRUR;D;230809;000000;7.34;7.36;7.32;7.34;232194378
TRUR;D;230810;000000;7.34;7.38;7.33;7.38;287214596
TRUR;D;230811;000000;7.4;7.44;7.38;7.42;300125466
TRUR;D;230814;000000;7.48;7.54;7.31;7.34;577957861
TRUR;D;230815;000000;7.27;7.41;7.2;7.32;399251970
TRUR;D;230816;000000;7.32;7.37;7.17;7.21;566557181
TRUR;D;230817;000000;7.21;7.24;7.13;7.19;357697926
TRUR;D;230818;000000;7.19;7.25;7.17;7.25;284193457
TRUR;D;230821;000000;7.26;7.32;7.26;7.27;365285783
TRUR;D;230822;000000;7.28;7.31;7.27;7.28;216666414
TRUR;D;230823;000000;7.31;7.33;7.25;7.3;350172996
TRUR;D;230824;000000;7.28;7.31;7.28;7.31;220715270
TRUR;D;230825;000000;7.31;7.34;7.29;7.33;237560464
TRUR;D;230828;000000;7.36;7.4;7.36;7.4;219263054
TRUR;D;230829;000000;7.39;7.42;7.39;7.42;227107680
TRUR;D;230830;000000;7.42;7.45;7.42;7.44;200168661
TRUR;D;230831;000000;7.44;7.46;7.42;7.43;167668002
TRUR;D;230901;000000;7.43;7.45;7.43;7.44;170908913
TRUR;D;230904;000000;7.48;7.5;7.47;7.5;319958683
TRUR;D;230905;000000;7.5;7.52;7.48;7.5;196589953
TRUR;D;230906;000000;7.5;7.5;7.45;7.47;154787591
TRUR;D;230907;000000;7.47;7.48;7.34;7.37;359526080
TRUR;D;230908;000000;7.38;7.42;7.35;7.37;250295042
